detector,window,t_eq_cm,phi
D1,wall,488.39,1.413345e-04
D1,wall,490.36,1.411796e-04
D1,wall,492.32,1.410249e-04
D1,wall,494.28,1.408706e-04
D1,wall,496.24,1.407166e-04
D1,wall,498.20,1.405630e-04
D1,wall,500.16,1.404096e-04
D1,wall,502.12,1.402565e-04
D1,wall,504.09,1.401038e-04
D1,wall,506.05,1.399513e-04
D1,wall,508.01,1.397991e-04
D1,wall,509.97,1.396472e-04
D1,wall,511.93,1.394957e-04
D1,wall,513.89,1.393444e-04
D1,wall,515.85,1.391933e-04
D1,wall,517.82,1.390426e-04
D1,wall,519.78,1.388921e-04
D1,wall,521.74,1.387420e-04
D1,wall,523.70,1.385920e-04
D1,wall,525.66,1.384424e-04
D1,wall,527.62,1.382930e-04
D1,wall,529.58,1.381439e-04
D1,wall,531.55,1.379951e-04
D1,wall,533.51,1.378465e-04
D1,wall,535.47,1.376981e-04
D1,wall,537.43,1.375500e-04
D1,wall,539.39,1.374022e-04
D1,wall,541.35,1.372546e-04
D1,wall,543.31,1.371073e-04
D1,wall,545.28,1.369602e-04
D1,wall,547.24,1.368134e-04
D1,wall,549.20,1.366668e-04
D1,wall,551.16,1.365204e-04
D1,wall,553.12,1.363743e-04
D1,wall,555.08,1.362285e-04
D1,wall,557.04,1.360828e-04
D1,wall,559.01,1.359374e-04
D1,wall,560.97,1.357922e-04
D1,wall,562.93,1.356473e-04
D1,wall,564.89,1.355025e-04
D1,wall,566.85,1.353581e-04
D1,wall,568.81,1.352138e-04
D1,wall,570.77,1.350697e-04
D1,wall,572.74,1.349259e-04
D1,wall,574.70,1.347823e-04
D1,wall,576.66,1.346389e-04
D1,wall,578.62,1.344958e-04
D1,wall,580.58,1.343528e-04
D1,wall,582.54,1.342101e-04
D1,wall,584.50,1.340675e-04
D1,wall,586.47,1.339252e-04
D1,wall,588.43,1.337831e-04
D1,wall,590.39,1.336412e-04
D1,wall,592.35,1.334996e-04
D1,wall,594.31,1.333581e-04
D1,wall,596.27,1.332168e-04
D1,wall,598.23,1.330757e-04
D1,wall,600.20,1.329349e-04
D1,wall,602.16,1.327942e-04
D1,wall,604.12,1.326538e-04
D1,wall,606.08,1.325135e-04
D1,wall,608.04,1.323734e-04
D1,wall,610.00,1.322336e-04
D1,wall,611.96,1.320939e-04
D1,wall,613.93,1.319544e-04
D1,wall,615.89,1.318151e-04
D1,wall,617.85,1.316761e-04
D1,wall,619.81,1.315372e-04
D1,wall,621.77,1.313985e-04
D1,wall,623.73,1.312600e-04
D1,wall,625.69,1.311216e-04
D1,wall,627.66,1.309835e-04
D1,wall,629.62,1.308456e-04
D1,wall,631.58,1.307078e-04
D1,wall,633.54,1.305702e-04
D1,wall,635.50,1.304328e-04
D1,wall,637.46,1.302956e-04
D1,wall,639.42,1.301586e-04
D1,wall,641.39,1.300218e-04
D1,wall,643.35,1.298851e-04
D1,wall,645.31,1.297486e-04
D1,wall,647.27,1.296124e-04
D1,wall,649.23,1.294762e-04
D1,wall,651.19,1.293403e-04
D1,wall,653.15,1.292045e-04
D1,wall,655.12,1.290690e-04
D1,wall,657.08,1.289336e-04
D1,wall,659.04,1.287983e-04
D1,wall,661.00,1.286633e-04
D1,wall,662.96,1.285284e-04
D1,wall,664.92,1.283937e-04
D1,wall,666.88,1.282592e-04
D1,wall,668.85,1.281248e-04
D1,wall,670.81,1.279906e-04
D1,wall,672.77,1.278566e-04
D1,wall,674.73,1.277227e-04
D1,wall,676.69,1.275891e-04
D1,wall,678.65,1.274555e-04
D1,wall,680.61,1.273222e-04
D1,wall,682.58,1.271890e-04
D1,wall,684.54,1.270560e-04
D1,wall,686.50,1.269232e-04
D1,wall,688.46,1.267905e-04
D1,wall,690.42,1.266580e-04
D1,wall,692.38,1.265256e-04
D1,wall,694.34,1.263935e-04
D1,wall,696.31,1.262614e-04
D1,wall,698.27,1.261296e-04
D1,wall,700.23,1.259979e-04
D1,wall,702.19,1.258664e-04
D1,wall,704.15,1.257350e-04
D1,wall,706.11,1.256038e-04
D1,wall,708.07,1.254727e-04
D1,wall,710.04,1.253419e-04
D1,wall,712.00,1.252111e-04
D1,wall,713.96,1.250806e-04
D1,wall,715.92,1.249502e-04
D1,wall,717.88,1.248199e-04
D1,wall,719.84,1.246898e-04
D1,wall,721.80,1.245599e-04
D1,wall,723.77,1.244301e-04
D1,wall,725.73,1.243005e-04
D1,wall,727.69,1.241710e-04
D1,wall,729.65,1.240417e-04
D1,wall,731.61,1.239125e-04
D1,wall,733.57,1.237835e-04
D1,wall,735.53,1.236547e-04
D1,wall,737.50,1.235260e-04
D1,wall,739.46,1.233974e-04
D1,wall,741.42,1.232690e-04
D1,wall,743.38,1.231408e-04
D1,wall,745.34,1.230127e-04
D1,wall,747.30,1.228848e-04
D1,wall,749.26,1.227570e-04
D1,wall,751.23,1.226294e-04
D1,wall,753.19,1.225019e-04
D1,wall,755.15,1.223745e-04
D1,wall,757.11,1.222474e-04
D1,wall,759.07,1.221203e-04
D1,wall,761.03,1.219934e-04
D1,wall,762.99,1.218667e-04
D1,wall,764.96,1.217401e-04
D1,wall,766.92,1.216137e-04
D1,wall,768.88,1.214874e-04
D1,wall,770.84,1.213612e-04
D1,wall,772.80,1.212352e-04
D1,wall,774.76,1.211094e-04
D1,wall,776.72,1.209837e-04
D1,wall,778.69,1.208581e-04
D1,wall,780.65,1.207327e-04
D1,wall,782.61,1.206074e-04
D1,peak,0.00,6.250036e-03
D1,peak,1.96,5.958848e-03
D1,peak,3.92,5.681955e-03
D1,peak,5.88,5.418651e-03
D1,peak,7.85,5.168270e-03
D1,peak,9.81,4.930173e-03
D1,peak,11.77,4.703759e-03
D1,peak,13.73,4.488450e-03
D1,peak,15.69,4.283701e-03
D1,peak,17.65,4.088993e-03
D1,peak,19.61,3.903831e-03
D1,peak,21.58,3.727746e-03
D1,peak,23.54,3.560290e-03
D1,peak,25.50,3.401040e-03
D1,peak,27.46,3.249592e-03
D1,peak,29.42,3.105562e-03
D1,peak,31.38,2.968586e-03
D1,peak,33.34,2.838315e-03
D1,peak,35.31,2.714421e-03
D1,peak,37.27,2.596589e-03
D1,peak,39.23,2.484522e-03
D1,peak,41.19,2.377937e-03
D1,peak,43.15,2.276562e-03
D1,peak,45.11,2.180143e-03
D1,peak,47.07,2.088436e-03
D1,peak,49.04,2.001209e-03
D1,peak,51.00,1.918241e-03
D1,peak,52.96,1.839324e-03
D1,peak,54.92,1.764258e-03
D1,peak,56.88,1.692853e-03
D1,peak,58.84,1.624931e-03
D1,peak,60.80,1.560319e-03
D1,peak,62.77,1.498855e-03
D1,peak,64.73,1.440385e-03
D1,peak,66.69,1.384761e-03
D1,peak,68.65,1.331843e-03
D1,peak,70.61,1.281499e-03
D1,peak,72.57,1.233602e-03
D1,peak,74.53,1.188032e-03
D1,peak,76.50,1.144674e-03
D1,peak,78.46,1.103420e-03
D1,peak,80.42,1.064166e-03
D1,peak,82.38,1.026815e-03
D1,peak,84.34,9.912729e-04
D1,peak,86.30,9.574508e-04
D1,peak,88.26,9.252644e-04
D1,peak,90.23,8.946333e-04
D1,peak,92.19,8.654814e-04
D1,peak,94.15,8.377359e-04
D1,peak,96.11,8.113280e-04
D1,peak,98.07,7.861919e-04
D1,peak,100.03,7.622652e-04
D1,peak,101.99,7.394888e-04
D1,peak,103.96,7.178061e-04
D1,peak,105.92,6.971636e-04
D1,peak,107.88,6.775103e-04
D1,peak,109.84,6.587976e-04
D1,peak,111.80,6.409795e-04
D1,peak,113.76,6.240122e-04
D1,peak,115.72,6.078540e-04
D1,peak,117.69,5.924652e-04
D1,peak,119.65,5.778082e-04
D1,peak,121.61,5.638471e-04
D1,peak,123.57,5.505479e-04
D1,peak,125.53,5.378782e-04
D1,peak,127.49,5.258073e-04
D1,peak,129.45,5.143057e-04
D1,peak,131.42,5.033457e-04
D1,peak,133.38,4.929008e-04
D1,peak,135.34,4.829458e-04
D1,peak,137.30,4.734568e-04
D1,peak,139.26,4.644110e-04
D1,peak,141.22,4.557867e-04
D1,peak,143.18,4.475635e-04
D1,peak,145.15,4.397216e-04
D1,peak,147.11,4.322426e-04
D1,peak,149.07,4.251087e-04
D1,peak,151.03,4.183030e-04
D1,peak,152.99,4.118096e-04
D1,peak,154.95,4.056133e-04
D1,peak,156.91,3.996996e-04
D1,peak,158.88,3.940547e-04
D1,peak,160.84,3.886656e-04
D1,peak,162.80,3.835197e-04
D1,peak,164.76,3.786054e-04
D1,peak,166.72,3.739112e-04
D1,peak,168.68,3.694266e-04
D1,peak,170.64,3.651414e-04
D1,peak,172.61,3.610458e-04
D1,peak,174.57,3.571307e-04
D1,peak,176.53,3.533873e-04
D1,peak,178.49,3.498074e-04
D1,peak,180.45,3.463829e-04
D1,peak,182.41,3.431064e-04
D1,peak,184.37,3.399706e-04
D1,peak,186.34,3.369689e-04
D1,peak,188.30,3.340947e-04
D1,peak,190.26,3.313419e-04
D1,peak,192.22,3.287046e-04
D1,peak,194.18,3.261772e-04
D1,peak,196.14,3.237545e-04
D1,peak,198.10,3.214314e-04
D1,peak,200.07,3.192031e-04
D1,peak,202.03,3.170651e-04
D1,peak,203.99,3.150130e-04
D1,peak,205.95,3.130427e-04
D1,peak,207.91,3.111503e-04
D1,peak,209.87,3.093320e-04
D1,peak,211.83,3.075843e-04
D1,peak,213.80,3.059039e-04
D1,peak,215.76,3.042875e-04
D1,peak,217.72,3.027321e-04
D1,peak,219.68,3.012348e-04
D1,peak,221.64,2.997927e-04
