channel,counts_管理棟2F,cps_管理棟2F,cps_err_管理棟2F,in_auto_ROI_管理棟2F,counts_linac,cps_linac,cps_err_linac,in_auto_ROI_linac,counts_終夜,cps_終夜,cps_err_終夜,in_auto_ROI_終夜
332,17,0.012730592212172542,0.0030876221392619405,1,8,0.0019007413841768983,0.0006720135610166947,1,793,0.015177913085565991,0.0005389834970849114,1
333,20,0.014977167308438287,0.003348996421205557,1,10,0.0023759267302211227,0.0007513340021175161,1,826,0.01580952863641552,0.0005500838541686173,1
334,24,0.017972600770125944,0.003668641769796712,1,7,0.0016631487111547858,0.0006286111261475942,1,892,0.017072759738114583,0.0005716382768772926,1
335,21,0.0157260256738602,0.0034317001443468233,1,15,0.003563890095331684,0.000920192465795545,1,964,0.018450830030877195,0.0005942612213492496,1
336,33,0.02471232605892317,0.0043018637935502545,1,10,0.0023759267302211227,0.0007513340021175161,1,1072,0.020517935470021113,0.0006266661939277515,1
337,30,0.02246575096265743,0.0041016661911802916,1,14,0.0033262974223095716,0.0008889903800565521,1,1120,0.021436648998529522,0.0006405424042825491,1
338,22,0.016474884039282114,0.0035124570790505596,1,16,0.0038014827683537965,0.0009503706920884491,1,1161,0.02222138347079712,0.000652161240555752,1
339,29,0.021716892597235516,0.004032725714998363,1,13,0.0030887047492874596,0.0008566525652557754,1,1257,0.024058810527813935,0.0006785885276274321,1
340,31,0.023214609328079342,0.004169466919803276,1,16,0.0038014827683537965,0.0009503706920884491,1,1355,0.02593451731518527,0.000704544650714149,1
341,35,0.026210042789767,0.0044303058360776115,1,14,0.0033262974223095716,0.0008889903800565521,1,1359,0.026011076775894305,0.0007055838026811109,1
342,35,0.026210042789767,0.0044303058360776115,1,21,0.004989446133464357,0.0010887864086907217,1,1320,0.02526462203398122,0.0006953858349756594,1
343,28,0.0209680342318136,0.003962586004233432,1,16,0.0038014827683537965,0.0009503706920884491,1,1360,0.026030216641071562,0.000705843351633307,1
344,31,0.023214609328079342,0.004169466919803276,1,9,0.0021383340571990103,0.0007127780190663368,1,1334,0.02553258014646284,0.0006990637607764015,1
345,37,0.02770775952061083,0.004555127605688792,1,9,0.0021383340571990103,0.0007127780190663368,1,1265,0.024211929449232006,0.0006807444934331788,1
346,32,0.02396346769350126,0.0042361826267048736,1,10,0.0023759267302211227,0.0007513340021175161,1,1159,0.022183103740442602,0.0006515992747120044,1
347,27,0.020219175866391687,0.003891182209751208,1,11,0.002613519403243235,0.0007880057493519422,1,1078,0.020632774661084666,0.0006284174768781625,1
348,32,0.02396346769350126,0.0042361826267048736,1,10,0.0023759267302211227,0.0007513340021175161,1,1133,0.02168546724583388,0.0006442491128368869,1
349,32,0.02396346769350126,0.0042361826267048736,1,8,0.0019007413841768983,0.0006720135610166947,1,1072,0.020517935470021113,0.0006266661939277515,1
350,24,0.017972600770125944,0.003668641769796712,1,2,0.00047518534604422456,0.0003360067805083474,1,1001,0.01915900504243576,0.0006055582329079807,1
351,16,0.01198173384675063,0.0029954334616876573,1,9,0.0021383340571990103,0.0007127780190663368,1,776,0.014852535377552597,0.0005331749475236237,1
352,14,0.0104840171159068,0.002801971434628365,1,0,0.0,0,1,616,0.011790156949191237,0.0004750389609560859,1
353,9,0.0067397252887972285,0.002246575096265743,1,3,0.0007127780190663368,0.00041152258118039775,1,579,0.011081981937632672,0.0004605514522646773,1
354,8,0.005990866923375315,0.0021180913133524368,1,2,0.00047518534604422456,0.0003360067805083474,1,456,0.008727778520829876,0.00040871567646183634,1
355,12,0.008986300385062972,0.002594121473167472,1,3,0.0007127780190663368,0.00041152258118039775,1,364,0.006966910924522095,0.00036516535404843963,1
356,7,0.0052420085579534,0.001981293002116716,1,4,0.0009503706920884491,0.00047518534604422456,1,273,0.0052251831933915706,0.0003162424731878874,1
357,8,0.005990866923375315,0.0021180913133524368,1,3,0.0007127780190663368,0.00041152258118039775,1,239,0.004574427777364782,0.0002958951350087869,1
358,3,0.002246575096265743,0.001297060736583736,1,2,0.00047518534604422456,0.0003360067805083474,1,192,0.0036748541140336323,0.00026520975149624016,1
359,5,0.0037442918271095717,0.0016744982106027784,1,3,0.0007127780190663368,0.00041152258118039775,1,196,0.003751413574742666,0.000267958112481619,1
360,4,0.0029954334616876573,0.0014977167308438287,1,1,0.00023759267302211228,0.00023759267302211228,1,151,0.0028901196417660336,0.00023519460089370362,1
361,4,0.0029954334616876573,0.0014977167308438287,1,1,0.00023759267302211228,0.00023759267302211228,1,167,0.00319635748460217,0.00024734156810695334,1
362,5,0.0037442918271095717,0.0016744982106027784,1,2,0.00047518534604422456,0.0003360067805083474,1,160,0.0030623784283613604,0.00024210227227471705,1
363,1,0.0007488583654219143,0.0007488583654219143,1,1,0.00023759267302211228,0.00023759267302211228,0,143,0.0027370007203479656,0.00022887949837746384,1
364,5,0.0037442918271095717,0.0016744982106027784,1,1,0.00023759267302211228,0.00023759267302211228,0,136,0.002603021664107156,0.00022320726624483809,1
365,4,0.0029954334616876573,0.0014977167308438287,1,2,0.00047518534604422456,0.0003360067805083474,0,152,0.0029092595069432924,0.0002359721058272612,1
366,1,0.0007488583654219143,0.0007488583654219143,1,0,0.0,0,0,121,0.0023159236864482785,0.00021053851694984352,1
